tcga	n	corr	lower.ci	upper.ci	pval	color
TCGA-ACC (79)	79	-0.167428190090096	-0.374668327568955	0.0557459325316003	0.140253639029156	grey
TCGA-BLCA (411)	411	0.14288451199207	0.0468020821954719	0.236347216323227	0.00369839434775655	red
TCGA-BRCA (1097)	1097	0.333703104366535	0.280046631775002	0.385281078580689	6.07681321164422e-30	red
TCGA-CESC (304)	304	0.0673844938963228	-0.045452343969306	0.178523541558926	0.241445859811145	grey
TCGA-CHOL (36)	36	0.339075069508031	0.0118605797012912	0.60069447701636	0.0430706047919843	red
TCGA-COAL (469)	469	0.544659057105359	0.477671018855378	0.6053504431831	1.38930060960464e-37	red
TCGA-DLBC (48)	48	-0.101525772279446	-0.37484725365602	0.188033116115875	0.492317563439538	grey
TCGA-ESCA (161)	161	0.142556149604707	-0.0123919423429118	0.290818496474375	0.0712367219386915	grey
TCGA-GBM (155)	155	-0.225355070826124	-0.369863237997153	-0.0702008491415484	0.00481290114059792	blue
TCGA-HNSC (500)	500	0.182731296704784	0.0965884240777856	0.266157033342855	3.94926636803613e-05	red
TCGA-KICH (65)	65	-0.381212946674834	-0.57193497385767	-0.151389669014623	0.0017301500850549	blue
TCGA-KIRC (534)	534	0.340833795561201	0.263606616482594	0.41371970732687	5.42804671296535e-16	red
TCGA-KIRP (288)	288	0.0298828993174594	-0.0859935312383654	0.144961645744213	0.613532894797114	grey
TCGA-LGG (511)	511	-0.14728247670481	-0.231071256345016	-0.0613251221363434	0.000839470906165346	blue
TCGA-LIHC (371)	371	-0.0567141870609396	-0.157620175971269	0.0453639173402699	0.275896749297557	grey
TCGA-LUAD (524)	524	0.379228018710449	0.303427266323842	0.450259143792348	2.28817323235351e-19	red
TCGA-LUSC (501)	501	0.192658440448513	0.106858995369102	0.275609802528796	1.41028990650873e-05	red
TCGA-MESO (86)	86	0.00571263179340238	-0.206412524460359	0.217324910790369	0.958367761604135	grey
TCGA-OV (374)	374	0.106771093090372	0.00542331048594052	0.205947740918161	0.039032341578181	red
TCGA-PAAD (177)	177	0.299988193216965	0.159547306349387	0.428527141865216	4.9784641854669e-05	red
TCGA-PCPG (178)	178	0.263072335425618	0.120656305747929	0.394877667305231	0.000388470509452646	red
TCGA-PRAD (498)	498	0.449698536137193	0.376717306576638	0.517131508558874	3.66032196716245e-26	red
TCGA-READ (166)	166	0.306153955878753	0.161357153810024	0.438047621410104	6.03426413608798e-05	red
TCGA-SARC (259)	259	-0.0096358977703228	-0.131370285590825	0.112384782056594	0.877350662083948	grey
TCGA-SKCM (103)	103	0.20264602081726	0.00949366928477552	0.381220365303842	0.0400838253248142	red
TCGA-STAD (375)	375	0.188239778991528	0.0886588573979703	0.284095053583138	0.000246468105700059	red
TCGA-TGCT (150)	150	0.254171722448734	0.0978979669236925	0.398212482080059	0.0016974318809522	red
TCGA-THCA (502)	502	0.346623591580318	0.267213937813423	0.421357311602349	1.28432936249266e-15	red
TCGA-THYM (119)	119	0.566685967753795	0.43061339582409	0.677568848580393	1.84322127337917e-11	red
TCGA-UCEC (547)	547	0.211894418084749	0.13037491398847	0.290568203914655	5.69279581675313e-07	red
TCGA-UCS (56)	56	-0.0501673967759137	-0.308992613832368	0.215576379236085	0.713482935454196	grey
TCGA-UVM (80)	80	0.253276791923144	0.0355375305560608	0.448059537500974	0.0234012114242428	red
Summary (9724)	9724	0.171042174175449	0.092583655020594	0.247389811409939	2.25665956891718e-05	black
