tcga	n	corr	lower.ci	upper.ci	pval	color
TCGA-ACC (79)	79	0.0666274593929924	-0.156792818038112	0.283560441889967	0.559619007766248	grey
TCGA-BLCA (411)	411	0.268299305692139	0.176141308630595	0.355794861790574	3.30781651990757e-08	red
TCGA-BRCA (1097)	1097	0.408552437408336	0.358022164699176	0.456696634901973	2.21975531663535e-45	red
TCGA-CESC (304)	304	0.115993273756683	0.00354726131904737	0.225542613154648	0.0432894440655149	red
TCGA-CHOL (36)	36	0.239556258586058	-0.0965806458808394	0.526643669283577	0.159368774673349	grey
TCGA-COAL (469)	469	0.483618707718854	0.411074420070593	0.550076215978276	7.27667305195861e-29	red
TCGA-DLBC (48)	48	0.428238151944104	0.164066642932679	0.635096064261026	0.00239364595408237	red
TCGA-ESCA (161)	161	0.341819750438272	0.197591756768227	0.471562651110702	9.08708701515822e-06	red
TCGA-GBM (155)	155	-0.000969368581066685	-0.158593367725535	0.156702813888181	0.990448868609568	grey
TCGA-HNSC (500)	500	0.262928519063664	0.179373633839223	0.342717294637971	2.37397668253101e-09	red
TCGA-KICH (65)	65	0.362433329530609	0.130028357526323	0.55708748470084	0.00300799162260274	red
TCGA-KIRC (534)	534	-0.13328157699844	-0.215692974921013	-0.0489848718035591	0.00202532758287004	blue
TCGA-KIRP (288)	288	0.287563560179133	0.177896792531688	0.390174959380943	6.90067500845795e-07	red
TCGA-LGG (511)	511	0.0105575779002427	-0.0762530601742429	0.0972093637992552	0.811819442423416	grey
TCGA-LIHC (371)	371	0.0627762471651988	-0.0392910409397881	0.163547067900721	0.227715068212796	grey
TCGA-LUAD (524)	524	0.332656559036222	0.254243930514207	0.406724347073152	5.26175043217459e-15	red
TCGA-LUSC (501)	501	0.0682422302895816	-0.0194771607122593	0.154919042276233	0.127151604599443	grey
TCGA-MESO (86)	86	0.278488227389024	0.070789845211804	0.463041864393576	0.00942110515375644	red
TCGA-OV (374)	374	0.135983791903706	0.0350607649327293	0.234161294112228	0.00845744013943202	red
TCGA-PAAD (177)	177	0.332560189763345	0.194605535604711	0.457613556290492	6.11214337710456e-06	red
TCGA-PCPG (178)	178	0.217728749529212	0.0729812479608149	0.353492984318108	0.00350586427953046	red
TCGA-PRAD (498)	498	0.500722189459832	0.43185580457866	0.563784151672498	5.79658567773396e-33	red
TCGA-READ (166)	166	0.353286214079893	0.212394302980407	0.479788801604562	3.02925097002219e-06	red
TCGA-SARC (259)	259	0.276932429441673	0.160460064419826	0.385798511161343	6.06702836038265e-06	red
TCGA-SKCM (103)	103	0.427131943121896	0.254657403465956	0.573269801578739	6.80970121090103e-06	red
TCGA-STAD (375)	375	0.202433832899234	0.103280099175729	0.297603797476446	7.88143255524297e-05	red
TCGA-TGCT (150)	150	0.173692723739042	0.0138157770805921	0.324909971213292	0.0335297550915508	red
TCGA-THCA (502)	502	0.278620495823812	0.195881212585963	0.357420855527833	2.10792813038069e-10	red
TCGA-THYM (119)	119	0.297152626365731	0.123777458097234	0.45292306347788	0.0010314877994426	red
TCGA-UCEC (547)	547	0.381213571427736	0.307195794566661	0.450646764575268	2.310810359209e-20	red
TCGA-UCS (56)	56	-0.0562879970493975	-0.314534008925387	0.20971594126162	0.680304696093404	grey
TCGA-UVM (80)	80	0.515853112808378	0.33399134503545	0.660686692537107	9.72357662183185e-07	red
Summary (9724)	9724	0.252317943334247	0.193033420529852	0.309766899971505	5.4937632252919e-16	black
